Pathways	Compounds_of_pathway	Enzymes_of_pathway	Genes_of_pathway	Reactions_of_pathway	Reactants_of_pathway	Products_of_pathway	Ontology_parents_of_class
PWY-5147	Oxidized-ferredoxins // Stearoyl-ACPs // Reduced-ferredoxins // OXYGEN-MOLECULE // PROTON // ACP // Oleoyl-ACPs // WATER // PPI // AMP // OLEOYL-COA // OLEATE-CPD // CO-A // ATP	AT2G43710-MONOMER // AT5G16240-MONOMER // MONOMERQT-7947 // AT3G02630-MONOMER // MONOMERQT-8827 // MONOMERQT-8828 // AT1G43800-MONOMER // MONOMERQT-9367 // AT1G68280-MONOMER // AT1G68260-MONOMER // AT1G35250-MONOMER // AT1G35290-MONOMER // AT1G08510-MONOMER // AT3G25110-MONOMER // AT4G13050-MONOMER // AT2G47245-MONOMER // AT3G16170-MONOMER // AT1G62940-MONOMER // AT5G27600-MONOMER // AT4G23850-MONOMER // AT4G11030-MONOMER // AT2G47240-MONOMER // AT2G04350-MONOMER // AT1G64400-MONOMER // AT1G49430-MONOMER // AT1G77590-MONOMER // AT3G05970-MONOMER	AT2G43710 // AT5G16240 // AT5G16230 // AT3G02630 // AT3G02620 // AT3G02610 // AT1G43800 // AT1G66550 // AT1G68280 // AT1G68260 // AT1G35250 // AT1G35290 // AT1G08510 // AT3G25110 // AT4G13050 // AT2G47245 // AT3G16170 // AT1G62940 // AT5G27600 // AT4G23850 // AT4G11030 // AT2G47240 // AT2G04350 // AT1G64400 // AT1G49430 // AT1G77590 // AT3G05970 // AT4G14890	RXN-9644 // 3.1.2.14-RXN // RXN-7903	CO-A // ATP // Stearoyl-ACPs // Reduced-ferredoxins // OXYGEN-MOLECULE	OLEOYL-COA // AMP // PPI // ACP // Oxidized-ferredoxins	Oleate-Biosynthesis
PWY-6295	CPD-11505 // OH // CPD-11507 // WATER // CARBON-DIOXIDE // CO-A // CPD-11506 // PROTON // HEXANOYL-COA // MALONYL-COA	AT4G34850-MONOMER // AT1G02050-MONOMER // AT4G00040-MONOMER	AT4G34850 // AT1G02050 // AT4G00040	RXN-10689 // RXN-10688 // RXN-10687	PROTON // HEXANOYL-COA // MALONYL-COA // WATER	CPD-11506 // CO-A // CARBON-DIOXIDE // CPD-11507 // OH // CPD-11505	TERPENOPHENOLICS-SYN
PWY-6468	CPD-12299 // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-12282 // DODECANOATE // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	AT3G52970-MONOMER // AT2G27690-MONOMER // AT1G74110-MONOMER	AT3G52970 // AT2G27690 // AT1G74110	RXN-11336 // RXN-11340	DODECANOATE // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	CPD-12282 // Ox-NADPH-Hemoprotein-Reductases // WATER // CPD-12299	Unusual-fatty-acid-biosynthesis
PWY-8043	CPD-20340 // GLY // PROTON // Pi // ADP // CPD-22077 // ATP // 2-OXOBUTANOATE // GLT // CPD0-1942 // 2-KETOGLUTARATE			RXN-20408 // RXN-20400 // RXN-20401	GLT // 2-OXOBUTANOATE // ATP // GLY	2-KETOGLUTARATE // ADP // Pi // PROTON // CPD-20340	Other-biosynthesis
PWY-7060	CPD-18238 // CARBAMATE // GLN // GLT // Pi // L-CITRULLINE // PROTON // WATER // ADP // CARBAMOYL-P // AMMONIUM // HCO3 // ATP // L-ORNITHINE	CPLXQT-47 // AT1G48470-MONOMER // AT3G53180-MONOMER // CPLX-8950 // MONOMER-17454 // MONOMER-17456 // MONOMER-17457 // AT1G79900-MONOMER	AT1G29900 // AT3G27740 // AT1G48470 // AT3G53180 // AT5G35630 // AT1G79900	TRANS-RXN-230 // TRANS-RXN-229 // CARBAMATE-KINASE-RXN // RXN-13482 // TRANS-RXN-228 // TRANS-RXN-227 // ORNCARBAMTRANSFER-RXN // GLUTAMINESYN-RXN // CARBPSYN-RXN	WATER		Photosynthesis
PWY-7985	NADH // NAD // FORMATE // WATER // FORMYL-COA // CARBON-DIOXIDE // PROTON // AMP // PPI // OXALYL-COA // CO-A // OXALATE // ATP	AT5G14780-MONOMER // AT5G17380-MONOMER // AT3G48990-MONOMER	AT5G14780 // AT5G17380 // AT3G48990	OXALATE--COA-LIGASE-RXN // OXALYL-COA-DECARBOXYLASE-RXN // FORMYL-COA-HYDROLASE-RXN // 1.2.1.2-RXN	OXALATE // ATP // WATER // NAD	PPI // AMP // CARBON-DIOXIDE // NADH	Oxalate-Degradation
PWY-6502	DGTP // GTP // CPD-12377 // CPD-12365 // CPD0-1905 // PPI // CPD-12367 // PROTON // CPD-12366 // WATER	AT1G68760-MONOMER	AT1G68760	RXN-11397 // RXN-11396 // RXN-11409 // RXN-11410	GTP // CPD-12377 // DGTP	PROTON // CPD-12367 // PPI // CPD-12365	8-Oxo-GTP-Detoxification // Metabolic-Clusters
PHOTOALL-PWY	E- // OXYGEN-MOLECULE // PLASTOQUINONE // Plastoquinols // Oxidized-ferredoxins // Plastocyanin-Reduced // Light // Oxidized-Plastocyanins // Reduced-ferredoxins // CARBON-DIOXIDE // G3P // DIHYDROXY-ACETONE-PHOSPHATE // FRUCTOSE-16-DIPHOSPHATE // FRUCTOSE-6P // ERYTHROSE-4P // D-SEDOHEPTULOSE-7-P // WATER // D-SEDOHEPTULOSE-1-7-P2 // XYLULOSE-5-PHOSPHATE // ADP // D-RIBULOSE-15-P2 // ATP // RIBULOSE-5P // RIBOSE-5P // DPG // NADPH // PROTON // GAP // Pi // NADP	CPLX-942 // AT3G01440-MONOMER // AT2G30790-MONOMER // AT2G01918-MONOMER // ATCG00720-MONOMER // ATCG00540-MONOMER // ATCG00210-MONOMER // CPLX-985 // AT1G03130-MONOMER // ATCG01060-MONOMER // ATCG00350-MONOMER // ATCG00340-MONOMER // MONOMERQT-7624 // MONOMERQT-8333 // AT3G16140-MONOMER // AT2G20260-MONOMER // AT1G31330-MONOMER // AT1G30380-MONOMER // RUBISCO2 // RUBISCO3 // RUBISCO4 // AT1G67090-MONOMER // AT5G38420-MONOMER // AT5G38430-MONOMER // ATMG00280-MONOMER // AT1G79550-MONOMER // AT1G56190-MONOMER // AT3G12780-MONOMER // AT2G21170-MONOMER // AT3G55440-MONOMER // AT4G26520-MONOMER // AT4G26530-MONOMER // AT5G03690-MONOMER // AT3G52930-MONOMER // AT2G21330-MONOMER // AT4G38970-MONOMER // AT2G36460-MONOMER // AT2G01140-MONOMER // AT1G43670-MONOMER // AT3G54050-MONOMER // AT5G64380-MONOMER // AT3G05170-MONOMER // AT1G08940-MONOMER // AT3G60750-MONOMER // AT2G45290-MONOMER // AT3G55800-MONOMER // AT5G61410-MONOMER // AT3G01850-MONOMER // AT1G63290-MONOMER // CPLX-7281 // AT3G62410-MONOMER // AT2G01290-MONOMER // AT1G71100-MONOMER // AT3G04790-MONOMER // MONOMERQT-7765 // AT3G04880-MONOMER // CPLX-7280 // CPLXQT-50 // CPLXQT-48 // CPLXQT-49	AT2G28800 // AT3G56650 // AT5G11450 // AT1G77090 // AT1G76450 // AT2G28605 // AT4G15510 // ATCG00690 // ATCG00020 // ATCG00270 // AT2G30570 // AT2G06520 // AT1G67740 // AT1G79040 // AT5G66570 // ATCG00680 // ATCG00280 // ATCG00580 // ATCG00710 // ATCG00080 // AT1G06680 // AT4G21280 // AT1G44575 // AT3G01440 // AT2G30790 // AT2G01918 // ATCG00720 // ATCG00540 // ATCG00210 // G-672 // G-671 // G-669 // G-668 // G-667 // G-666 // G-665 // G-664 // G-663 // AT2G46820 // AT4G02770 // AT4G28750 // AT1G55670 // AT1G08380 // AT1G03130 // ATCG01060 // ATCG00350 // ATCG00340 // AT5G64040 // AT4G12800 // AT3G16140 // AT2G20260 // AT1G31330 // AT1G30380 // AT5G38410 // ATCG00490 // AT1G67090 // AT5G38420 // AT5G38430 // ATMG00280 // AT1G79550 // AT1G56190 // AT3G12780 // AT2G21170 // AT3G55440 // AT4G26520 // AT4G26530 // AT5G03690 // AT3G52930 // AT2G21330 // AT4G38970 // AT2G36460 // AT2G01140 // AT1G43670 // AT3G54050 // AT5G64380 // AT3G05170 // AT1G08940 // AT3G60750 // AT2G45290 // AT3G55800 // AT5G61410 // AT3G01850 // AT1G63290 // AT1G32060 // AT3G62410 // AT2G01290 // AT1G71100 // AT3G04790 // AT5G44520 // AT3G04880 // AT1G12900 // AT3G26650 // AT1G42970 // AT4G14890	1.2.1.13-RXN // RIB5PISOM-RXN // PHOSPHORIBULOKINASE-RXN // RIBULP3EPIM-RXN // SEDOHEPTULOSE-BISPHOSPHATASE-RXN // 2TRANSKETO-RXN // 1TRANSKETO-RXN // F16BDEPHOS-RXN // SEDOBISALDOL-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // PHOSGLYPHOS-RXN // RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN // RXN-15479 // PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN // 1.18.1.2-RXN // PSII-RXN			Photosynthesis // Super-Pathways
PWY-5971	Hex-2-enoyl-ACPs // R-3-hydroxyhexanoyl-ACPs // 3-oxo-hexanoyl-ACPs // Butanoyl-ACPs // Acetoacetyl-ACPs // Crotonyl-ACPs // Beta-3-hydroxybutyryl-ACPs // Hexanoyl-ACPs // 3-Oxo-octanoyl-ACPs // 2-Octenoyl-ACPs // 3-Hydroxy-octanoyl-ACPs // Octanoyl-ACPs // 3-oxo-decanoyl-ACPs // Decanoyl-ACPs // 3-oxo-dodecanoyl-ACPs // R-3-hydroxydodecanoyl-ACPs // Dodec-2-enoyl-ACPs // 3-oxo-myristoyl-ACPs // R-3-hydroxymyristoyl-ACPs // Tetradec-2-enoyl-ACPs // CARBON-DIOXIDE // Myristoyl-ACPs // MALONYL-ACP // NADPH // 3-oxo-palmitoyl-ACPs // NADP // R-3-Hydroxypalmitoyl-ACPs // NADH // 2-Hexadecenoyl-ACPs // NAD // Palmitoyl-ACPs // PROTON // ACP // Dodecanoyl-ACPs // WATER // Trans-D2-decenoyl-ACPs // Beta-hydroxydecanoyl-ACPs // PALMITYL-COA // PALMITATE // AMP // PPI // LAUROYLCOA-CPD // DODECANOATE // CO-A // ATP	CPLX-7644 // MONOMERQT-9294 // MONOMER-14118 // MONOMERQT-9399 // AT3G55310-MONOMER // AT3G46170-MONOMER // AT3G55290-MONOMER // AT1G10310-MONOMER // AT2G17845-MONOMER // AT1G62610-MONOMER // CPLX-7646 // AT5G64250-MONOMER // AT2G05990-MONOMER // MONOMERQT-9367 // AT1G68280-MONOMER // AT1G68260-MONOMER // AT1G35250-MONOMER // AT1G35290-MONOMER // AT1G08510-MONOMER // AT3G25110-MONOMER // AT5G10160-MONOMER // AT2G22230-MONOMER // AT2G47245-MONOMER // AT3G16170-MONOMER // AT1G62940-MONOMER // AT4G23850-MONOMER // AT4G11030-MONOMER // AT2G47240-MONOMER // AT2G04350-MONOMER // AT1G64400-MONOMER // AT1G49430-MONOMER // AT1G77590-MONOMER // AT3G16910-MONOMER // AT1G66120-MONOMER // AT3G06460-MONOMER // AT5G27600-MONOMER // AT3G05970-MONOMER	AT5G46290 // AT1G74960 // G-10790 // AT1G63380 // AT3G55310 // AT3G46170 // AT3G55290 // AT1G10310 // AT2G17845 // AT1G62610 // AT1G24360 // AT5G64250 // AT2G05990 // AT1G66550 // AT1G68280 // AT1G68260 // AT1G35250 // AT1G35290 // AT1G08510 // AT3G25110 // AT5G10160 // AT2G22230 // AT2G47245 // AT3G16170 // AT1G62940 // AT4G23850 // AT4G11030 // AT2G47240 // AT2G04350 // AT1G64400 // AT1G49430 // AT1G77590 // AT3G16910 // AT1G66120 // AT3G06460 // AT5G27600 // AT3G05970	RXN-16393 // RXN-9623 // RXN-9655 // 3.1.2.21-RXN // RXN-9549 // RXN-9663 // 4.2.1.61-RXN // RXN-9540 // RXN-9539 // RXN-9662 // RXN-9537 // RXN-9536 // RXN-9535 // RXN-9661 // RXN-9533 // RXN-9532 // RXN-9531 // RXN-9660 // RXN-9528 // RXN-9527 // 4.2.1.59-RXN // RXN-9659 // RXN-9524 // RXN-9523 // 4.2.1.58-RXN // RXN-9514 // RXN-9516 // RXN-9518 // RXN-9520 // RXN-9658 // RXN-9657	CO-A // ATP // NADH // NADPH // MALONYL-ACP // Acetoacetyl-ACPs	LAUROYLCOA-CPD // PPI // AMP // PALMITYL-COA // ACP // NAD // NADP // CARBON-DIOXIDE	Palmitate-Biosynthesis
PWY-5366	Oxidized-ferredoxins // Palmitoyl-ACPs // Reduced-ferredoxins // OXYGEN-MOLECULE // PROTON // ACP // CPD-9245 // Palmitoleoyl-ACPs // WATER	MONOMERQT-9367 // AT1G68280-MONOMER // AT1G68260-MONOMER // AT1G35250-MONOMER // AT1G35290-MONOMER // AT1G08510-MONOMER // AT3G25110-MONOMER	AT1G66550 // AT1G68280 // AT1G68260 // AT1G35250 // AT1G35290 // AT1G08510 // AT3G25110 // AT4G14890	RXN-9550 // RXN-8389	Palmitoyl-ACPs // Reduced-ferredoxins // OXYGEN-MOLECULE	CPD-9245 // ACP // Oxidized-ferredoxins	Palmitoleate-Biosynthesis
PENTOSE-P-PWY	FRUCTOSE-6P // ERYTHROSE-4P // D-SEDOHEPTULOSE-7-P // GAP // XYLULOSE-5-PHOSPHATE // RIBOSE-5P // WATER // CARBON-DIOXIDE // RIBULOSE-5P // CPD-2961 // PROTON // NADPH // D-6-P-GLUCONO-DELTA-LACTONE // D-glucopyranose-6-phosphate // NADP	AT1G12230-MONOMER // AT5G13420-MONOMER // AT3G60750-MONOMER // AT2G45290-MONOMER // AT5G61410-MONOMER // AT3G01850-MONOMER // AT1G63290-MONOMER // AT2G01290-MONOMER // AT1G71100-MONOMER // AT3G04790-MONOMER // MONOMERQT-7765 // AT3G04880-MONOMER // AT1G13700-MONOMER // AT3G49360-MONOMER // AT5G24420-MONOMER // AT5G24400-MONOMER // AT5G24410-MONOMER // AT1G64190-MONOMER // AT5G41670-MONOMER // MONOMERQT-8829 // AT1G24280-MONOMER // AT3G27300-MONOMER // AT5G40760-MONOMER // AT5G13110-MONOMER // AT5G35790-MONOMER // AT1G09420-MONOMER	AT1G12230 // AT5G13420 // AT3G60750 // AT2G45290 // AT5G61410 // AT3G01850 // AT1G63290 // AT2G01290 // AT1G71100 // AT3G04790 // AT5G44520 // AT3G04880 // AT1G13700 // AT3G49360 // AT5G24420 // AT5G24400 // AT5G24410 // AT1G64190 // AT5G41670 // AT3G02360 // AT1G24280 // AT3G27300 // AT5G40760 // AT5G13110 // AT5G35790 // AT1G09420	GLU6PDEHYDROG-RXN // RXN-9952 // 6PGLUCONOLACT-RXN // RIB5PISOM-RXN // RIBULP3EPIM-RXN // 1TRANSKETO-RXN // 2TRANSKETO-RXN // TRANSALDOL-RXN			Pentose-Phosphate-Cycle // Super-Pathways
NONOXIPENT-PWY	FRUCTOSE-6P // ERYTHROSE-4P // D-SEDOHEPTULOSE-7-P // GAP // XYLULOSE-5-PHOSPHATE // RIBULOSE-5P // RIBOSE-5P	AT1G12230-MONOMER // AT5G13420-MONOMER // AT3G60750-MONOMER // AT2G45290-MONOMER // AT5G61410-MONOMER // AT3G01850-MONOMER // AT1G63290-MONOMER // AT2G01290-MONOMER // AT1G71100-MONOMER // AT3G04790-MONOMER // MONOMERQT-7765 // AT3G04880-MONOMER	AT1G12230 // AT5G13420 // AT3G60750 // AT2G45290 // AT5G61410 // AT3G01850 // AT1G63290 // AT2G01290 // AT1G71100 // AT3G04790 // AT5G44520 // AT3G04880	RIB5PISOM-RXN // RIBULP3EPIM-RXN // 1TRANSKETO-RXN // 2TRANSKETO-RXN // TRANSALDOL-RXN	RIBULOSE-5P	FRUCTOSE-6P	Pentose-Phosphate-Cycle
OXIDATIVEPENT-PWY	WATER // CARBON-DIOXIDE // RIBULOSE-5P // CPD-2961 // PROTON // NADPH // D-6-P-GLUCONO-DELTA-LACTONE // D-glucopyranose-6-phosphate // NADP	AT1G13700-MONOMER // AT3G49360-MONOMER // AT5G24420-MONOMER // AT5G24400-MONOMER // AT5G24410-MONOMER // AT1G64190-MONOMER // AT5G41670-MONOMER // MONOMERQT-8829 // AT1G24280-MONOMER // AT3G27300-MONOMER // AT5G40760-MONOMER // AT5G13110-MONOMER // AT5G35790-MONOMER // AT1G09420-MONOMER	AT1G13700 // AT3G49360 // AT5G24420 // AT5G24400 // AT5G24410 // AT1G64190 // AT5G41670 // AT3G02360 // AT1G24280 // AT3G27300 // AT5G40760 // AT5G13110 // AT5G35790 // AT1G09420	GLU6PDEHYDROG-RXN // RXN-9952 // 6PGLUCONOLACT-RXN	D-glucopyranose-6-phosphate // NADP // WATER	NADPH // PROTON // RIBULOSE-5P // CARBON-DIOXIDE	Pentose-Phosphate-Cycle
PWY-6930	CPD-13687 // CPD-13688 // CPD-11641 // CPD-8131 // PROTON // UDP // CPD-13686 // NAPHTHOL // CPD-12575 // CO-A // CPD-13685 // CPD-13683 // MALONYL-COA	AT5G39050-MONOMER // AT3G29670-MONOMER // AT5G39090-MONOMER // AT5G39080-MONOMER	AT5G39050 // AT3G29670 // AT5G39090 // AT5G39080	RXN-12695 // RXN-12698 // RXN-12696 // RXN-12699 // RXN-12697	MALONYL-COA // NAPHTHOL // CPD-12575 // CPD-8131 // CPD-11641	CPD-13685 // CO-A // UDP // PROTON // CPD-13688 // CPD-13687	AROMATIC-COMPOUNDS-BIOSYN // Metabolic-Clusters
PWY-361	PPI // AMP // COUMARATE // ATP // COUMARALDEHYDE // COUMARYL-ALCOHOL // SINAPYL-ALCOHOL // FERULOYL-COA // SINAPALDEHYDE // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // 5-HYDROXY-CONIFERALDEHYDE // CPD-412 // P-COUMAROYL-COA // SHIKIMATE // CAFFEOYLSHIKIMATE // QUINATE // CAFFEOYL-COA // CO-A // Ox-NADPH-Hemoprotein-Reductases // WATER // CAFFEOYLQUINATE // 4-COUMAROYLQUINATE // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // PROTON // NADPH // CONIFERYL-ALDEHYDE // CONIFERYL-ALCOHOL // NADP	AT1G51680-MONOMER // AT1G65060-MONOMER // AT3G21240-MONOMER // AT3G21230-MONOMER // AT4G05160-MONOMER // AT2G23910-MONOMER // AT1G15950-MONOMER // AT2G33590-MONOMER // AT4G30470-MONOMER // AT4G34050-MONOMER // AT1G67990-MONOMER // AT3G61990-MONOMER // AT3G62000-MONOMER // AT4G26220-MONOMER // AT1G24735-MONOMER // AT1G67980-MONOMER // AT4G36220-MONOMER // AT5G54160-MONOMER // AT5G42830-MONOMER // AT5G67160-MONOMER // AT5G23940-MONOMER // AT5G67150-MONOMER // AT3G50270-MONOMER // AT3G50300-MONOMER // AT5G57840-MONOMER // AT2G39980-MONOMER // AT5G01210-MONOMER // AT5G07850-MONOMER // AT5G07870-MONOMER // AT3G50280-MONOMER // AT5G48930-MONOMER // AT2G40890-MONOMER // AT5G09970-MONOMER // AT3G19450-MONOMER // AT4G34230-MONOMER // AT2G21890-MONOMER // AT2G21730-MONOMER // AT4G39330-MONOMER // AT4G37990-MONOMER // AT4G37980-MONOMER // MONOMERQT-7767 // MONOMERQT-9554 // AT1G26380-MONOMER // AT1G26400-MONOMER // AT2G34790-MONOMER // AT5G44390-MONOMER // AT5G44400-MONOMER	AT1G51680 // AT1G65060 // AT3G21240 // AT3G21230 // AT4G05160 // AT2G23910 // AT1G15950 // AT2G33590 // AT4G30470 // AT4G34050 // AT1G67990 // AT3G61990 // AT3G62000 // AT4G26220 // AT1G24735 // AT1G67980 // AT4G36220 // AT5G54160 // AT5G42830 // AT5G67160 // AT5G23940 // AT5G67150 // AT3G50270 // AT3G50300 // AT5G57840 // AT2G39980 // AT5G01210 // AT5G07850 // AT5G07870 // AT3G50280 // AT5G48930 // AT2G40890 // AT5G09970 // AT3G19450 // AT4G34230 // AT2G21890 // AT2G21730 // AT4G39330 // AT4G37990 // AT4G37980 // AT5G44380 // AT1G30760 // AT1G26380 // AT1G26400 // AT2G34790 // AT5G44390 // AT5G44400	RXN-2602 // 1.14.13.36-RXN // RXN-2622 // RXN-2621 // 2.3.1.133-RXN // RXN-2601 // RXN-2581 // RXN-1143 // RXN-1142 // CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN // RXN-1125 // RXN-1102 // RXN-1106 // RXN-1101 // 4-COUMARATE--COA-LIGASE-RXN	NADPH // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // S-ADENOSYLMETHIONINE // COUMARATE // ATP	CONIFERYL-ALCOHOL // NADP // WATER // Ox-NADPH-Hemoprotein-Reductases // ADENOSYL-HOMO-CYS // SINAPYL-ALCOHOL // COUMARYL-ALCOHOL // AMP // PPI	LIGNIN-SYN // SECONDARY-CELL-WALL
PWY1F-467	AMMONIUM // PHE // Ox-NADPH-Hemoprotein-Reductases // WATER // COUMARATE // CPD-674 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	AT3G53260-MONOMER // AT5G04230-MONOMER // AT2G37040-MONOMER // AT3G10340-MONOMER // AT2G30490-MONOMER	AT3G53260 // AT5G04230 // AT2G37040 // AT3G10340 // AT2G30490	TRANS-CINNAMATE-4-MONOOXYGENASE-RXN // PHENYLALANINE-AMMONIA-LYASE-RXN	OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // PHE	COUMARATE // WATER // Ox-NADPH-Hemoprotein-Reductases // AMMONIUM	CINNAMATE-SYN
PWY-6348	Alcohols // Pi // WATER // Orthophosphoric-Monoesters	AT5G24770-MONOMER // AT4G13700-MONOMER // AT5G34850-MONOMER // CPLX-8562 // AT3G44620-MONOMER // AT5G44020-MONOMER // AT4G25150-MONOMER // AT4G36350-MONOMER // AT3G52810-MONOMER // AT2G38600-MONOMER // AT1G56360-MONOMER // AT2G16430-MONOMER // AT3G17790-MONOMER // AT1G04040-MONOMER // AT5G51260-MONOMER // AT2G18130-MONOMER // AT3G20500-MONOMER // AT1G14700-MONOMER // AT4G29260-MONOMER // AT2G01890-MONOMER // AT2G01880-MONOMER // AT3G52780-MONOMER // AT3G52820-MONOMER // AT4G29270-MONOMER // AT1G52940-MONOMER // AT2G32770-MONOMER // AT3G46120-MONOMER // MONOMERQT-8793 // AT3G05170-MONOMER // AT1G54780-MONOMER // MONOMERQT-9578 // AT1G08940-MONOMER // AT5G24780-MONOMER	AT5G24770 // AT4G13700 // AT5G34850 // AT2G27190 // AT3G44620 // AT5G44020 // AT4G25150 // AT4G36350 // AT3G52810 // AT2G38600 // AT1G56360 // AT2G16430 // AT3G17790 // AT1G04040 // AT5G51260 // AT2G18130 // AT3G20500 // AT1G14700 // AT4G29260 // AT2G01890 // AT2G01880 // AT3G52780 // AT3G52820 // AT4G29270 // AT1G52940 // AT2G32770 // AT3G46120 // AT3G07130 // AT3G05170 // AT1G54780 // AT1G25230 // AT1G08940 // AT5G24780	ACID-PHOSPHATASE-RXN	WATER // Orthophosphoric-Monoesters	Pi // Alcohols	Phosphorus-Compounds
PWY-7039	Pi // CHOLINE // PHOSPHATIDYLCHOLINE // ADP // DIACYLGLYCEROL-PYROPHOSPHATE // L-PHOSPHATIDATE // ATP // PROTON // INOSITOL-1-4-5-TRISPHOSPHATE // DIACYLGLYCEROL // PHOSPHATIDYL-MYO-INOSITOL-45-BISPHOSPHA // WATER	AT5G63770-MONOMER // AT4G30340-MONOMER // MONOMER-17355 // AT5G57690-MONOMER // AT4G28130-MONOMER // AT2G20900-MONOMER // AT5G07920-MONOMER // AT2G18730-MONOMER // AT3G25850-MONOMER // AT2G46090-MONOMER // AT2G37820-MONOMER // AT1G20990-MONOMER // MONOMER-AT2G01180 // MONOMER-AT1G15080 // AT3G18220-MONOMER // AT3G16785-CPLX // AT4G35790-CPLX // AT4G11850-CPLX // AT2G42010-CPLX // AT3G15730-CPLX // AT1G55180-MONOMER // AT5G25370-MONOMER // AT4G11830-MONOMER // AT3G05630-MONOMER // AT4G00240-MONOMER // AT4G11840-MONOMER // AT1G52570-MONOMER // MONOMER-17354 // CPLX-1425 // CPLX-1424 // MONOMER-17353 // AT3G47220-MONOMER // AT2G40116-MONOMER // AT5G58690-MONOMER // AT5G58700-MONOMER // AT4G38530-MONOMER // AT3G55940-MONOMER // AT5G58670-MONOMER // AT4G34930-MONOMER // MONOMERQT-8549 // MONOMERQT-8777 // AT1G13680-MONOMER	AT5G63770 // AT4G30340 // AT5G57690 // AT4G28130 // AT2G20900 // AT5G07920 // AT2G18730 // AT3G25850 // AT2G46090 // AT2G37820 // AT1G20990 // AT2G01180 // AT1G15080 // AT3G18220 // AT3G16785 // AT4G35790 // AT4G11850 // AT2G42010 // AT3G15730 // AT1G55180 // AT5G25370 // AT4G11830 // AT3G05630 // AT4G00240 // AT4G11840 // AT1G52570 // G-1102 // G-1101 // AT3G47220 // AT2G40116 // AT5G58690 // AT5G58700 // AT4G38530 // AT3G55940 // AT5G58670 // AT4G34930 // AT3G47290 // AT3G08510 // AT1G13680	3.1.4.11-RXN // RXN-13336 // PHOSCHOL-RXN // RXN-11277 // DIACYLGLYKIN-RXN	PHOSPHATIDYL-MYO-INOSITOL-45-BISPHOSPHA // WATER // ATP // PHOSPHATIDYLCHOLINE	INOSITOL-1-4-5-TRISPHOSPHATE // PROTON // ADP // CHOLINE // Pi	Phospholipid-Biosynthesis
